query,domain,domain_architecture,protein_id,length,domain_count
tr|G0RSY5|G0RSY5_HYPJQ,['CE4'],CE4,tr|G0RSY5|G0RSY5_HYPJQ,297,1
tr|G0RGI2|G0RGI2_HYPJQ,['GH128'],GH128,tr|G0RGI2|G0RGI2_HYPJQ,292,1
tr|G0RN50|G0RN50_HYPJQ,['GH16_3'],GH16_3,tr|G0RN50|G0RN50_HYPJQ,287,1
tr|G0RU13|G0RU13_HYPJQ,['GH16_3'],GH16_3,tr|G0RU13|G0RU13_HYPJQ,287,1
sp|G0REY8|LP14A_HYPJQ,['AA14'],AA14,sp|G0REY8|LP14A_HYPJQ,286,1
tr|G0RQ16|G0RQ16_HYPJQ,['GH16_18'],GH16_18,tr|G0RQ16|G0RQ16_HYPJQ,275,1
tr|G0RQX0|G0RQX0_HYPJQ,['GH128'],GH128,tr|G0RQX0|G0RQX0_HYPJQ,272,1
tr|G0RP87|G0RP87_HYPJQ,['GH24'],GH24,tr|G0RP87|G0RP87_HYPJQ,268,1
tr|G0R863|G0R863_HYPJQ,['PL20'],PL20,tr|G0R863|G0R863_HYPJQ,258,1
tr|G0RV94|G0RV94_HYPJQ,['PL20'],PL20,tr|G0RV94|G0RV94_HYPJQ,258,1
tr|G0RRM2|G0RRM2_HYPJQ,['GH75'],GH75,tr|G0RRM2|G0RRM2_HYPJQ,254,1
tr|G0RRM1|G0RRM1_HYPJQ,['PL7_4'],PL7_4,tr|G0RRM1|G0RRM1_HYPJQ,252,1
sp|Q7Z9M7|LP9B_HYPJQ,['AA9'],AA9,sp|Q7Z9M7|LP9B_HYPJQ,249,1
sp|G0RH85|CUTI1_HYPJQ,['CE5'],CE5,sp|G0RH85|CUTI1_HYPJQ,248,1
tr|G0R931|G0R931_HYPJQ,['PL7_4'],PL7_4,tr|G0R931|G0R931_HYPJQ,248,1
tr|G0RP66|G0RP66_HYPJQ,['GH45_2'],GH45_2,tr|G0RP66|G0RP66_HYPJQ,242,1
tr|G0RWI2|G0RWI2_HYPJQ,['GH75'],GH75,tr|G0RWI2|G0RWI2_HYPJQ,235,1
tr|G0RRG8|G0RRG8_HYPJQ,['GH12'],GH12,tr|G0RRG8|G0RRG8_HYPJQ,234,1
sp|G0R947|XYN1_HYPJQ,['GH11'],GH11,sp|G0R947|XYN1_HYPJQ,229,1
tr|G0RT43|G0RT43_HYPJQ,['GH75'],GH75,tr|G0RT43|G0RT43_HYPJQ,229,1
tr|G0RAJ4|G0RAJ4_HYPJQ,['GH25'],GH25,tr|G0RAJ4|G0RAJ4_HYPJQ,228,1
sp|G0RUP7|XYN2_HYPJQ,['GH11'],GH11,sp|G0RUP7|XYN2_HYPJQ,223,1
tr|G0R9X1|G0R9X1_HYPJQ,['AA11'],AA11,tr|G0R9X1|G0R9X1_HYPJQ,217,1
